"","pref_hiring_women","pref_hiring_blacks","racial_quotas_sports","redistribute_blacks","first_daughter","age","abortion_defect","abortion_income","race","sex","survey","anc_support","how_many_kids","how_many_daughters","benchwgt","prov","geotype","any_daughters","urban","black","white","coloured","indian","pref_hiring_women2","pref_hiring_blacks2","racial_quotas_sports2","redistribute_blacks2","pref_hiring_binary","abortion_defect_binary","abortion_income_binary"
"8173","agree","agree","agree","strongly agree",0,28,"always wrong","always wrong","Black African",1,"sas08",1,1,0,7449.62522794732,"EC","Urban,informal",0,1,1,0,0,0,"agree","agree","agree","strongly agree",1,0,0
"8183","strongly agree","strongly agree","strongly agree","strongly agree",1,27,"not wrong at all","not wrong at all","Black African",1,"sas08",1,1,1,11174.4384181246,"EC","Urban,informal",1,1,1,0,0,0,"strongly agree","strongly agree","strongly agree","strongly agree",1,1,1
"8193","strongly agree","strongly agree","strongly agree","strongly agree",1,26,"not wrong at all","not wrong at all","Black African",1,"sas08",1,1,1,28146.3245237992,"EC","Urban,formal",1,1,1,0,0,0,"strongly agree","strongly agree","strongly agree","strongly agree",1,1,1
"8223","strongly agree","strongly agree","strongly agree","agree",0,51,"always wrong","always wrong","Black African",1,"sas08",0,4,0,18963.4598150167,"EC","Urban,formal",0,1,1,0,0,0,"strongly agree","strongly agree","strongly agree","agree",1,0,0
"8233","agree","agree","agree","agree",1,46,"not wrong at all","always wrong","Black African",1,"sas08",1,3,1,30341.535207112,"EC","Urban,formal",1,1,1,0,0,0,"agree","agree","agree","agree",1,1,0
"8253","strongly agree","agree","agree","agree",1,51,"not wrong at all","always wrong","Black African",1,"sas08",1,3,2,11378.0760132387,"EC","Urban,formal",1,1,1,0,0,0,"strongly agree","agree","agree","agree",1,1,0
"8263","neither agree nor disagree","neither agree nor disagree","strongly agree","neither agree nor disagree",1,48,"always wrong","almost always wrong","White",0,"sas08",0,1,1,6024.87443098103,"EC","Urban,formal",1,1,0,1,0,0,"neither agree nor disagree","neither agree nor disagree","strongly agree","neither agree nor disagree",0,0,0
"8293","agree","agree","agree","agree",1,19,"always wrong","always wrong","White",0,"sas08",0,1,1,10192.2283128568,"EC","Urban,formal",1,1,0,1,0,0,"agree","agree","agree","agree",1,0,0
"8323","agree","agree","strongly disagree","agree",0,19,"dk","dk","White",0,"sas08",0,2,1,6794.81837357469,"EC","Urban,formal",1,1,0,1,0,0,"agree","agree","strongly disagree","agree",1,0,0
"8343","agree","agree","agree","agree",1,38,"wrong only sometimes","always wrong","Black African",1,"sas08",1,3,3,8543.56961129684,"EC","Urban,informal",1,1,1,0,0,0,"agree","agree","agree","agree",1,1,0
"8363","strongly agree","strongly agree","strongly agree","strongly agree",0,43,"not wrong at all","always wrong","Black African",1,"sas08",1,3,1,8030.6429859193,"EC","Urban,informal",1,1,1,0,0,0,"strongly agree","strongly agree","strongly agree","strongly agree",1,1,0
"8383","agree","agree","agree","agree",0,38,"always wrong","always wrong","Black African",1,"sas08",1,1,0,2847.8568307952,"EC","Urban,informal",0,1,1,0,0,0,"agree","agree","agree","agree",1,0,0
"8403","strongly agree","strongly agree","strongly agree","agree",1,39,"almost always wrong","always wrong","Black African",1,"sas08",1,3,2,21519.6570846186,"EC","Urban,formal",1,1,1,0,0,0,"strongly agree","strongly agree","strongly agree","agree",1,0,0
"8415","agree","agree","agree","agree",0,29,"not wrong at all","wrong only sometimes","Black African",1,"sas08",1,1,0,14073.1622618996,"EC","Urban,formal",0,1,1,0,0,0,"agree","agree","agree","agree",1,1,1
"8423","agree","neither agree nor disagree","neither agree nor disagree","agree",0,50,"not wrong at all","always wrong","Black African",0,"sas08",1,3,1,16779.3748555244,"EC","Urban,formal",1,1,1,0,0,0,"agree","neither agree nor disagree","neither agree nor disagree","agree",1,1,0
"8433","strongly agree","strongly agree","agree","disagree",1,41,"always wrong","not wrong at all","Black African",1,"sas08",0,3,1,21519.6570846186,"EC","Urban,formal",1,1,1,0,0,0,"strongly agree","strongly agree","agree","disagree",1,0,1
"8443","agree","agree","agree","agree",1,52,"always wrong","always wrong","Black African",1,"sas08",1,5,5,22756.151405334,"EC","Urban,formal",1,1,1,0,0,0,"agree","agree","agree","agree",1,0,0
"8463","strongly agree","strongly agree","strongly agree","strongly agree",0,49,"not wrong at all","always wrong","Black African",0,"sas08",1,2,0,11378.0760132387,"EC","Urban,formal",0,1,1,0,0,0,"strongly agree","strongly agree","strongly agree","strongly agree",1,1,0
"8473","agree","agree","strongly agree","neither agree nor disagree",0,61,"wrong only sometimes","wrong only sometimes","White",1,"sas08",0,1,0,5402.2481374092,"EC","Urban,formal",0,1,0,1,0,0,"agree","agree","strongly agree","neither agree nor disagree",1,1,1
"8493","agree","agree","disagree","neither agree nor disagree",0,63,"always wrong","always wrong","White",0,"sas08",0,1,0,10100.2755665206,"EC","Urban,formal",0,1,0,1,0,0,"agree","agree","disagree","neither agree nor disagree",1,0,0
"8503","agree","agree","agree","agree",0,59,"always wrong","always wrong","White",0,"sas08",0,1,0,3012.43788271753,"EC","Urban,formal",0,1,0,1,0,0,"agree","agree","agree","agree",1,0,0
"8553","strongly agree","strongly agree","strongly agree","strongly agree",1,25,"always wrong","always wrong","Coloured",1,"sas08",0,1,1,3546.06864243474,"EC","Urban,formal",1,1,0,0,1,0,"strongly agree","strongly agree","strongly agree","strongly agree",1,0,0
"8583","agree","agree","neither agree nor disagree","agree",1,39,"always wrong","always wrong","Black African",1,"sas08",1,1,1,2594.15437297454,"EC","Urban,formal",1,1,1,0,0,0,"agree","agree","neither agree nor disagree","agree",1,0,0
"8593","agree","agree","agree","agree",0,36,"always wrong","always wrong","Black African",1,"sas08",1,1,0,1297.07718648727,"EC","Urban,formal",0,1,1,0,0,0,"agree","agree","agree","agree",1,0,0
"8603","agree","agree","agree","neither agree nor disagree",1,44,"always wrong","always wrong","Coloured",0,"sas08",1,4,3,3495.44700009115,"EC","Urban,formal",1,1,0,0,1,0,"agree","agree","agree","neither agree nor disagree",1,0,0
"8615","agree","disagree","disagree","disagree",0,30,"wrong only sometimes","always wrong","Coloured",1,"sas08",0,3,1,3150.44449631831,"NC","Urban,formal",1,1,0,0,1,0,"agree","disagree","disagree","disagree",1,1,0
"8623","strongly agree","agree","strongly agree","strongly agree",1,59,"always wrong","always wrong","Coloured",0,"sas08",0,1,1,1324.917,"NC","Urban,formal",1,1,0,0,1,0,"strongly agree","agree","strongly agree","strongly agree",1,0,0
"8643","agree","agree","strongly agree","strongly agree",0,38,"always wrong","always wrong","Coloured",1,"sas08",0,1,0,1324.917,"NC","Urban,formal",0,1,0,0,1,0,"agree","agree","strongly agree","strongly agree",1,0,0
"8663","strongly agree","agree","strongly agree","strongly agree",1,47,"always wrong","always wrong","Coloured",1,"sas08",1,1,1,1324.917,"NC","Urban,formal",1,1,0,0,1,0,"strongly agree","agree","strongly agree","strongly agree",1,0,0
"8683","do not know","do not know","strongly agree","do not know",0,44,"almost always wrong","always wrong","Coloured",1,"sas08",0,3,2,2304.3096,"NC","Rural,formal",1,0,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","strongly agree","neither agree nor disagree",0,0,0
"8693","agree","agree","agree","agree",0,73,"always wrong","always wrong","Coloured",1,"sas08",0,1,0,921.7239,"NC","Rural,formal",0,0,0,0,1,0,"agree","agree","agree","agree",1,0,0
"8703","do not know","neither agree nor disagree","agree","do not know",1,39,"almost always wrong","always wrong","Coloured",1,"sas08",0,3,2,921.7239,"NC","Rural,formal",1,0,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,0,0
"8715","disagree","strongly disagree","strongly disagree","strongly disagree",1,50,"always wrong","always wrong","White",0,"sas08",0,2,2,2759.65737284609,"NC","Rural,formal",1,0,0,1,0,0,"disagree","strongly disagree","strongly disagree","strongly disagree",0,0,0
"8743","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","do not know",0,48,"wrong only sometimes","dk","Coloured",1,"sas08",1,1,0,3709.7679,"NC","Urban,formal",0,1,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree",0,1,0
"8753","agree","agree","agree","strongly agree",0,37,"always wrong","always wrong","Coloured",1,"sas08",1,2,0,2473.1784,"NC","Urban,formal",0,1,0,0,1,0,"agree","agree","agree","strongly agree",1,0,0
"8773","strongly agree","strongly agree","strongly agree","agree",0,40,"not wrong at all","always wrong","Coloured",0,"sas08",0,1,0,2791.95148189836,"NC","Urban,formal",0,1,0,0,1,0,"strongly agree","strongly agree","strongly agree","agree",1,1,0
"8783","strongly agree","agree","strongly agree","agree",0,41,"wrong only sometimes","not wrong at all","Coloured",0,"sas08",1,3,1,1861.30098793224,"NC","Urban,formal",1,1,0,0,1,0,"strongly agree","agree","strongly agree","agree",1,1,1
"8803","agree","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree",1,38,"not wrong at all","not wrong at all","Coloured",1,"sas08",1,1,1,883.278,"NC","Urban,formal",1,1,0,0,1,0,"agree","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree",1,1,1
"8815","agree","agree","agree","do not know",1,30,"always wrong","always wrong","Coloured",1,"sas08",1,2,2,2520.35559705465,"NC","Urban,formal",1,1,0,0,1,0,"agree","agree","agree","neither agree nor disagree",1,0,0
"8823","strongly agree","strongly agree","strongly agree","agree",0,52,"not wrong at all","always wrong","Coloured",1,"sas08",1,1,0,883.278,"NC","Urban,formal",0,1,0,0,1,0,"strongly agree","strongly agree","strongly agree","agree",1,1,0
"8853","disagree","strongly disagree","disagree","disagree",0,45,"not wrong at all","always wrong","Coloured",0,"sas08",1,2,1,2649.8343,"NC","Urban,formal",1,1,0,0,1,0,"disagree","strongly disagree","disagree","disagree",0,1,0
"8863","agree","do not know","neither agree nor disagree","do not know",0,24,"not wrong at all","always wrong","Coloured",1,"sas08",0,2,1,1382.5857,"NC","Rural,formal",1,0,0,0,1,0,"agree","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree",1,1,0
"8873","agree","neither agree nor disagree","agree","do not know",1,39,"not wrong at all","always wrong","Coloured",1,"sas08",0,3,1,1382.5857,"NC","Rural,formal",1,0,0,0,1,0,"agree","neither agree nor disagree","agree","neither agree nor disagree",1,1,0
"8883","agree","agree","neither agree nor disagree","do not know",1,45,"not wrong at all","always wrong","Coloured",1,"sas08",0,1,1,1382.5857,"NC","Rural,formal",1,0,0,0,1,0,"agree","agree","neither agree nor disagree","neither agree nor disagree",1,1,0
"8943","strongly agree","agree","strongly agree","agree",1,38,"not wrong at all","always wrong","Black African",1,"sas08",1,2,2,3663.5907,"NC","Urban,formal",1,1,1,0,0,0,"strongly agree","agree","strongly agree","agree",1,1,0
"8963","agree","agree","strongly agree","strongly agree",1,62,"not wrong at all","always wrong","Black African",0,"sas08",1,2,1,2059.63568652576,"NC","Urban,formal",1,1,1,0,0,0,"agree","agree","strongly agree","strongly agree",1,1,0
"8983","strongly agree","strongly agree","strongly agree","strongly disagree",1,56,"not wrong at all","always wrong","Black African",1,"sas08",1,2,1,5495.3862,"NC","Urban,formal",1,1,1,0,0,0,"strongly agree","strongly agree","strongly agree","strongly disagree",1,1,0
"8993","do not know","do not know","agree","do not know",1,40,"wrong only sometimes","always wrong","Coloured",1,"sas08",1,3,2,1382.5857,"NC","Rural,formal",1,0,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,1,0
"9003","agree","strongly agree","neither agree nor disagree","neither agree nor disagree",0,43,"not wrong at all","always wrong","Coloured",1,"sas08",1,4,1,1843.4478,"NC","Rural,formal",1,0,0,0,1,0,"agree","strongly agree","neither agree nor disagree","neither agree nor disagree",1,1,0
"9015","neither agree nor disagree","strongly disagree","strongly disagree","strongly disagree",0,36,"not wrong at all","always wrong","White",1,"sas08",0,2,0,1732.48837813875,"NC","Rural,formal",0,0,0,1,0,0,"neither agree nor disagree","strongly disagree","strongly disagree","strongly disagree",0,1,0
"9023","do not know","do not know","do not know","neither agree nor disagree",0,43,"not wrong at all","always wrong","Coloured",0,"sas08",1,2,0,1387.3690678123,"NC","Rural,formal",0,0,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree",0,1,0
"9033","neither agree nor disagree","neither agree nor disagree","agree","do not know",1,48,"dk","always wrong","Coloured",0,"sas08",1,4,2,921.7239,"NC","Rural,formal",1,0,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,0,0
"9063","disagree","strongly disagree","strongly disagree","strongly disagree",1,71,"not wrong at all","always wrong","White",0,"sas08",0,1,1,3337.73630345192,"NC","Urban,formal",1,1,0,1,0,0,"disagree","strongly disagree","strongly disagree","strongly disagree",0,1,0
"9123","strongly agree","disagree","agree","disagree",0,60,"not wrong at all","always wrong","White",1,"sas08",0,1,0,2080.88845694785,"NC","Urban,formal",0,1,0,1,0,0,"strongly agree","disagree","agree","disagree",1,1,0
"9133","strongly agree","neither agree nor disagree","disagree","disagree",0,27,"not wrong at all","always wrong","Coloured",1,"sas08",0,3,0,1932.41344026576,"NC","Urban,formal",0,1,0,0,1,0,"strongly agree","neither agree nor disagree","disagree","disagree",1,1,0
"9163","disagree","disagree","strongly disagree","neither agree nor disagree",0,45,"not wrong at all","always wrong","White",0,"sas08",0,2,0,4055.27242518129,"NC","Urban,formal",0,1,0,1,0,0,"disagree","disagree","strongly disagree","neither agree nor disagree",0,1,0
"9173","agree","agree","agree","strongly agree",1,25,"always wrong","always wrong","Coloured",1,"sas08",0,2,1,2520.35559705465,"NC","Urban,formal",1,1,0,0,1,0,"agree","agree","agree","strongly agree",1,0,0
"9183","agree","agree","do not know","strongly disagree",1,58,"not wrong at all","always wrong","Coloured",1,"sas08",1,1,1,883.278,"NC","Urban,formal",1,1,0,0,1,0,"agree","agree","neither agree nor disagree","strongly disagree",1,1,0
"9233","disagree","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree",1,51,"wrong only sometimes","dk","Coloured",1,"sas08",0,2,1,1766.556,"NC","Urban,formal",1,1,0,0,1,0,"disagree","neither agree nor disagree","neither agree nor disagree","neither agree nor disagree",0,1,0
"9243","agree","agree","agree","agree",0,33,"not wrong at all","always wrong","Coloured",1,"sas08",1,2,0,1260.17779852732,"NC","Urban,formal",0,1,0,0,1,0,"agree","agree","agree","agree",1,1,0
"9253","agree","strongly agree","agree","agree",0,51,"not wrong at all","always wrong","Coloured",1,"sas08",1,3,1,1766.556,"NC","Urban,formal",1,1,0,0,1,0,"agree","strongly agree","agree","agree",1,1,0
"9263","disagree","disagree","disagree","disagree",0,31,"always wrong","always wrong","Coloured",1,"sas08",0,3,2,630.088899263662,"NC","Urban,formal",1,1,0,0,1,0,"disagree","disagree","disagree","disagree",0,0,0
"9273","do not know","do not know","strongly agree","neither agree nor disagree",0,34,"always wrong","always wrong","Coloured",1,"sas08",1,3,0,2520.35559705465,"NC","Urban,formal",0,1,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","strongly agree","neither agree nor disagree",0,0,0
"9293","agree","agree","agree","agree",1,70,"not wrong at all","always wrong","Coloured",0,"sas08",1,2,2,2052.55637837755,"NC","Urban,formal",1,1,0,0,1,0,"agree","agree","agree","agree",1,1,0
"9303","agree","strongly agree","strongly agree","strongly agree",0,42,"not wrong at all","always wrong","Coloured",0,"sas08",1,4,1,4653.25292138743,"NC","Urban,formal",1,1,0,0,1,0,"agree","strongly agree","strongly agree","strongly agree",1,1,0
"9315","disagree","strongly disagree","disagree","disagree",0,55,"always wrong","always wrong","Coloured",0,"sas08",0,1,0,3827.87579837639,"WC","Urban,formal",0,1,0,0,1,0,"disagree","strongly disagree","disagree","disagree",0,0,0
"9333","neither agree nor disagree","neither agree nor disagree","strongly agree","strongly agree",1,55,"dk","dk","Coloured",0,"sas08",1,4,3,2161.4553,"NC","Rural,formal",1,0,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","strongly agree","strongly agree",0,0,0
"9353","agree","agree","agree","agree",1,25,"dk","always wrong","Coloured",0,"sas08",0,2,1,3472.13959132335,"NC","Rural,formal",1,0,0,0,1,0,"agree","agree","agree","agree",1,0,0
"9373","neither agree nor disagree","neither agree nor disagree","strongly agree","do not know",1,37,"always wrong","always wrong","Coloured",0,"sas08",0,2,1,2168.93310797225,"NC","Rural,formal",1,0,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","strongly agree","neither agree nor disagree",0,0,0
"9383","strongly agree","agree","agree","agree",1,21,"always wrong","always wrong","Coloured",1,"sas08",0,2,1,1677.4953,"NC","Urban,informal",1,1,0,0,1,0,"strongly agree","agree","agree","agree",1,0,0
"9403","agree","agree","neither agree nor disagree","agree",1,30,"almost always wrong","always wrong","Coloured",1,"sas08",0,1,1,1196.64587827422,"NC","Urban,informal",1,1,0,0,1,0,"agree","agree","neither agree nor disagree","agree",1,0,0
"9415","strongly agree","neither agree nor disagree","strongly agree","agree",0,32,"not wrong at all","always wrong","Coloured",1,"sas08",1,2,0,2991.61490969141,"NC","Urban,informal",0,1,0,0,1,0,"strongly agree","neither agree nor disagree","strongly agree","agree",1,1,0
"9423","agree","agree","strongly agree","neither agree nor disagree",0,20,"not wrong at all","always wrong","Coloured",1,"sas08",0,1,0,1258.1214,"NC","Urban,informal",0,1,0,0,1,0,"agree","agree","strongly agree","neither agree nor disagree",1,1,0
"9433","agree","agree","agree","agree",0,28,"always wrong","always wrong","Coloured",1,"sas08",1,2,1,1196.64587827422,"NC","Urban,informal",1,1,0,0,1,0,"agree","agree","agree","agree",1,0,0
"9453","strongly agree","strongly agree","strongly agree","agree",1,26,"almost always wrong","always wrong","Coloured",1,"sas08",1,2,2,2520.35559705465,"NC","Urban,formal",1,1,0,0,1,0,"strongly agree","strongly agree","strongly agree","agree",1,0,0
"9463","strongly agree","strongly agree","agree","strongly agree",0,37,"wrong only sometimes","always wrong","Coloured",1,"sas08",1,2,0,883.278,"NC","Urban,formal",0,1,0,0,1,0,"strongly agree","strongly agree","agree","strongly agree",1,1,0
"9473","agree","agree","strongly agree","strongly agree",1,30,"not wrong at all","not wrong at all","Coloured",1,"sas08",1,1,1,1260.17779852732,"NC","Urban,formal",1,1,0,0,1,0,"agree","agree","strongly agree","strongly agree",1,1,1
"9503","disagree","disagree","neither agree nor disagree","neither agree nor disagree",1,66,"wrong only sometimes","always wrong","White",0,"sas08",0,1,1,12795.588439247,"NC","Urban,formal",1,1,0,1,0,0,"disagree","disagree","neither agree nor disagree","neither agree nor disagree",0,1,0
"9515","strongly disagree","strongly disagree","disagree","strongly disagree",0,34,"not wrong at all","wrong only sometimes","White",0,"sas08",0,2,0,12755.2442670592,"NC","Urban,formal",0,1,0,1,0,0,"strongly disagree","strongly disagree","disagree","strongly disagree",0,1,1
"9533","strongly disagree","disagree","agree","neither agree nor disagree",0,40,"wrong only sometimes","wrong only sometimes","White",1,"sas08",0,3,2,4455.26132166896,"NC","Urban,formal",1,1,0,1,0,0,"strongly disagree","disagree","agree","neither agree nor disagree",0,1,1
"9553","strongly disagree","strongly disagree","strongly disagree","strongly disagree",0,40,"wrong only sometimes","wrong only sometimes","White",1,"sas08",0,2,1,4455.26132166896,"NC","Urban,formal",1,1,0,1,0,0,"strongly disagree","strongly disagree","strongly disagree","strongly disagree",0,1,1
"9573","agree","strongly agree","do not know","agree",1,54,"always wrong","always wrong","Black African",1,"sas08",1,3,3,1766.556,"NC","Urban,formal",1,1,1,0,0,0,"agree","strongly agree","neither agree nor disagree","agree",1,0,0
"9583","strongly agree","disagree","neither agree nor disagree","strongly agree",0,28,"always wrong","always wrong","Coloured",1,"sas08",1,1,0,3150.44449631831,"NC","Urban,formal",0,1,0,0,1,0,"strongly agree","disagree","neither agree nor disagree","strongly agree",1,0,0
"9593","agree","agree","strongly agree","neither agree nor disagree",1,57,"almost always wrong","always wrong","Coloured",1,"sas08",1,3,2,1766.556,"NC","Urban,formal",1,1,0,0,1,0,"agree","agree","strongly agree","neither agree nor disagree",1,0,0
"9603","strongly disagree","disagree","disagree","agree",1,33,"not wrong at all","always wrong","Coloured",1,"sas08",1,2,1,1890.26669779098,"NC","Urban,formal",1,1,0,0,1,0,"strongly disagree","disagree","disagree","agree",0,1,0
"9623","agree","neither agree nor disagree","strongly agree","agree",0,40,"wrong only sometimes","always wrong","Black African",0,"sas08",1,7,4,2592.72667839238,"NC","Urban,formal",1,1,1,0,0,0,"agree","neither agree nor disagree","strongly agree","agree",1,1,0
"9663","strongly agree","agree","strongly agree","agree",0,20,"wrong only sometimes","always wrong","Black African",1,"sas08",0,1,0,10990.7721,"NC","Urban,formal",0,1,1,0,0,0,"strongly agree","agree","strongly agree","agree",1,1,0
"9683","disagree","disagree","agree","strongly agree",0,38,"not wrong at all","always wrong","Black African",1,"sas08",1,2,0,5495.3862,"NC","Urban,formal",0,1,1,0,0,0,"disagree","disagree","agree","strongly agree",0,1,0
"9703","neither agree nor disagree","agree","strongly agree","strongly agree",1,31,"almost always wrong","always wrong","Black African",1,"sas08",1,3,3,1045.63952494315,"NC","Rural,formal",1,0,1,0,0,0,"neither agree nor disagree","agree","strongly agree","strongly agree",0,0,0
"9723","agree","strongly agree","agree","agree",1,32,"always wrong","always wrong","Coloured",1,"sas08",1,1,1,1073.87799144188,"NC","Rural,formal",1,0,0,0,1,0,"agree","strongly agree","agree","agree",1,0,0
"9753","neither agree nor disagree","strongly disagree","strongly disagree","disagree",0,59,"not wrong at all","always wrong","White",1,"sas08",0,2,0,1525.16518438563,"NC","Rural,formal",0,0,0,1,0,0,"neither agree nor disagree","strongly disagree","strongly disagree","disagree",0,1,0
"9763","disagree","disagree","disagree","disagree",0,45,"not wrong at all","always wrong","Black African",1,"sas08",1,2,0,9158.9769,"NC","Urban,formal",0,1,1,0,0,0,"disagree","disagree","disagree","disagree",0,1,0
"9773","agree","neither agree nor disagree","strongly agree","neither agree nor disagree",1,38,"wrong only sometimes","always wrong","Black African",0,"sas08",1,5,4,5376.95343176225,"NC","Urban,formal",1,1,1,0,0,0,"agree","neither agree nor disagree","strongly agree","neither agree nor disagree",1,1,0
"9783","agree","neither agree nor disagree","strongly agree","agree",1,49,"not wrong at all","always wrong","Black African",1,"sas08",1,1,1,3663.5907,"NC","Urban,formal",1,1,1,0,0,0,"agree","neither agree nor disagree","strongly agree","agree",1,1,0
"9793","strongly agree","strongly agree","strongly agree","agree",1,46,"always wrong","always wrong","Coloured",1,"sas08",1,2,2,3663.5907,"NC","Urban,formal",1,1,0,0,1,0,"strongly agree","strongly agree","strongly agree","agree",1,0,0
"9823","neither agree nor disagree","strongly agree","agree","agree",0,38,"not wrong at all","always wrong","Black African",0,"sas08",1,5,2,10753.9068635245,"NC","Urban,formal",1,1,1,0,0,0,"neither agree nor disagree","strongly agree","agree","agree",0,1,0
"9833","strongly disagree","strongly disagree","strongly disagree","strongly disagree",0,54,"not wrong at all","always wrong","White",0,"sas08",0,1,0,4055.27242518129,"NC","Urban,formal",0,1,0,1,0,0,"strongly disagree","strongly disagree","strongly disagree","strongly disagree",0,1,0
"9883","disagree","strongly disagree","strongly disagree","disagree",0,34,"not wrong at all","always wrong","White",1,"sas08",0,1,0,3770.82907100958,"NC","Urban,formal",0,1,0,1,0,0,"disagree","strongly disagree","strongly disagree","disagree",0,1,0
"9893","disagree","strongly disagree","strongly disagree","strongly disagree",0,45,"not wrong at all","almost always wrong","White",1,"sas08",0,2,0,1372.24634071907,"NC","Urban,formal",0,1,0,1,0,0,"disagree","strongly disagree","strongly disagree","strongly disagree",0,1,0
"9915","disagree","disagree","strongly disagree","strongly disagree",1,39,"not wrong at all","always wrong","White",1,"sas08",0,1,1,3564.20928288927,"NC","Urban,formal",1,1,0,1,0,0,"disagree","disagree","strongly disagree","strongly disagree",0,1,0
"9983","agree","disagree","disagree","disagree",1,59,"wrong only sometimes","almost always wrong","White",0,"sas08",0,1,1,4055.27242518129,"NC","Urban,formal",1,1,0,1,0,0,"agree","disagree","disagree","disagree",1,1,0
"9993","neither agree nor disagree","strongly disagree","strongly disagree","agree",1,50,"not wrong at all","always wrong","White",0,"sas08",0,1,1,4055.27242518129,"NC","Urban,formal",1,1,0,1,0,0,"neither agree nor disagree","strongly disagree","strongly disagree","agree",0,1,0
"10003","agree","strongly disagree","disagree","disagree",0,47,"not wrong at all","always wrong","White",1,"sas08",0,1,0,2058.36966304854,"NC","Urban,formal",0,1,0,1,0,0,"agree","strongly disagree","disagree","disagree",1,1,0
"10015","agree","strongly disagree","strongly disagree","disagree",0,51,"not wrong at all","always wrong","Indian or Asian",1,"sas08",0,1,0,2708.9166,"NC","Urban,formal",0,1,0,0,0,1,"agree","strongly disagree","strongly disagree","disagree",1,1,0
"10023","strongly agree","strongly agree","strongly agree","strongly agree",0,28,"always wrong","always wrong","Black African",1,"sas08",1,2,1,2694.08403134051,"NC","Urban,informal",1,1,1,0,0,0,"strongly agree","strongly agree","strongly agree","strongly agree",1,0,0
"10043","strongly agree","agree","strongly agree","agree",0,46,"always wrong","always wrong","Black African",1,"sas08",1,2,0,1939.3209,"NC","Urban,informal",0,1,1,0,0,0,"strongly agree","agree","strongly agree","agree",1,0,0
"10053","strongly agree","strongly agree","strongly agree","strongly agree",0,48,"not wrong at all","always wrong","Black African",1,"sas08",1,2,0,969.6606,"NC","Urban,informal",0,1,1,0,0,0,"strongly agree","strongly agree","strongly agree","strongly agree",1,1,0
"10083","agree","agree","strongly agree","strongly agree",0,43,"almost always wrong","always wrong","Black African",0,"sas08",1,1,0,1423.14475544843,"NC","Urban,informal",0,1,1,0,0,0,"agree","agree","strongly agree","strongly agree",1,0,0
"10093","disagree","neither agree nor disagree","strongly agree","strongly agree",1,85,"always wrong","always wrong","Black African",0,"sas08",1,2,2,7208.72439686882,"NC","Urban,formal",1,1,1,0,0,0,"disagree","neither agree nor disagree","strongly agree","strongly agree",0,0,0
"10105","strongly agree","strongly agree","agree","strongly agree",0,22,"wrong only sometimes","always wrong","Black African",1,"sas08",0,1,0,6411.2838,"NC","Urban,formal",0,1,1,0,0,0,"strongly agree","strongly agree","agree","strongly agree",1,1,0
"10115","agree","neither agree nor disagree","agree","agree",0,58,"always wrong","always wrong","Black African",1,"sas08",1,1,0,4274.1891,"NC","Urban,formal",0,1,1,0,0,0,"agree","neither agree nor disagree","agree","agree",1,0,0
"10123","neither agree nor disagree","agree","strongly agree","agree",1,34,"wrong only sometimes","always wrong","Black African",0,"sas08",1,2,1,20277.3371609029,"NC","Urban,formal",1,1,1,0,0,0,"neither agree nor disagree","agree","strongly agree","agree",0,1,0
"10143","disagree","strongly disagree","disagree","agree",0,45,"not wrong at all","almost always wrong","Black African",0,"sas08",1,2,1,4274.1891,"NC","Urban,formal",1,1,1,0,0,0,"disagree","strongly disagree","disagree","agree",0,1,0
"10153","agree","strongly agree","agree","disagree",0,15,"always wrong","always wrong","Coloured",1,"sas08",0,1,0,4274.1891,"NC","Urban,formal",0,1,0,0,1,0,"agree","strongly agree","agree","disagree",1,0,0
"10183","strongly disagree","strongly disagree","strongly disagree","disagree",0,34,"always wrong","always wrong","Black African",1,"sas08",1,2,0,8906.48747506001,"NC","Urban,formal",0,1,1,0,0,0,"strongly disagree","strongly disagree","strongly disagree","disagree",0,0,0
"10203","strongly agree","strongly agree","strongly agree","strongly agree",0,55,"always wrong","always wrong","Black African",1,"sas08",1,2,0,6411.2838,"NC","Urban,formal",0,1,1,0,0,0,"strongly agree","strongly agree","strongly agree","strongly agree",1,0,0
"10223","neither agree nor disagree","strongly disagree","strongly disagree","agree",0,41,"not wrong at all","always wrong","White",1,"sas08",0,2,0,4455.26132166896,"NC","Urban,formal",0,1,0,1,0,0,"neither agree nor disagree","strongly disagree","strongly disagree","agree",0,1,0
